,query_text,QuestionId_Answer,ConstructName,SubjectName,QuestionText,correct_answer,incorrect_answer,MisconceptionID
10,"###question###:Substitution into Formula-Substitute positive integer values into formulae involving powers or roots-The equation \( f=3 r^{2}+3 \) is used to find values in the table below. What is the value covered by the star? \begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( f \) & \( 6 \) & \( 15 \) & \( \color{gold}\bigstar \) & \\
\hline
\end{tabular}
###Correct Answer###:\( 30 \)
###Misconcepte Incorrect answer###:D.\( 24 \)",4_D,Substitute positive integer values into formulae involving powers or roots,Substitution into Formula,"The equation \( f=3 r^{2}+3 \) is used to find values in the table below. What is the value covered by the star? \begin{tabular}{|c|c|c|c|c|}
\hline\( r \) & \( 1 \) & \( 2 \) & \( 3 \) & \( 4 \) \\
\hline\( f \) & \( 6 \) & \( 15 \) & \( \color{gold}\bigstar \) & \\
\hline
\end{tabular}",\( 30 \),\( 24 \),1818.0
11,"###question###:Area of Simple Shapes-Identify a unit of area-James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?
###Correct Answer###:\( \mathrm{mm}^{2} \)
###Misconcepte Incorrect answer###:A.\( m \)",5_A,Identify a unit of area,Area of Simple Shapes,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",\( \mathrm{mm}^{2} \),\( m \),686.0
12,"###question###:Area of Simple Shapes-Identify a unit of area-James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?
###Correct Answer###:\( \mathrm{mm}^{2} \)
###Misconcepte Incorrect answer###:B.\( \mathrm{cm} \)",5_B,Identify a unit of area,Area of Simple Shapes,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",\( \mathrm{mm}^{2} \),\( \mathrm{cm} \),686.0
13,"###question###:Area of Simple Shapes-Identify a unit of area-James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?
###Correct Answer###:\( \mathrm{mm}^{2} \)
###Misconcepte Incorrect answer###:C.\( \mathrm{km}^{3} \)",5_C,Identify a unit of area,Area of Simple Shapes,"James has answered a question on the area of a trapezium and got an answer of \( 54 \).

Behind the star he has written the units that he used.

\(
54 \, \bigstar 
\)

Which of the following units could be correct?",\( \mathrm{mm}^{2} \),\( \mathrm{km}^{3} \),686.0
14,"###question###:Converting between Fractions and Percentages-Convert two digit integer percentages to fractions-Convert this percentage to a fraction
\( 62 \% \)
###Correct Answer###:\( \frac{31}{50} \)
###Misconcepte Incorrect answer###:A.\( \frac{62}{10} \)",6_A,Convert two digit integer percentages to fractions,Converting between Fractions and Percentages,"Convert this percentage to a fraction
\( 62 \% \)",\( \frac{31}{50} \),\( \frac{62}{10} \),329.0
15,"###question###:Converting between Fractions and Percentages-Convert two digit integer percentages to fractions-Convert this percentage to a fraction
\( 62 \% \)
###Correct Answer###:\( \frac{31}{50} \)
###Misconcepte Incorrect answer###:C.\( \frac{6}{2} \)",6_C,Convert two digit integer percentages to fractions,Converting between Fractions and Percentages,"Convert this percentage to a fraction
\( 62 \% \)",\( \frac{31}{50} \),\( \frac{6}{2} \),847.0
16,"###question###:Converting between Fractions and Percentages-Convert two digit integer percentages to fractions-Convert this percentage to a fraction
\( 62 \% \)
###Correct Answer###:\( \frac{31}{50} \)
###Misconcepte Incorrect answer###:D.None of these",6_D,Convert two digit integer percentages to fractions,Converting between Fractions and Percentages,"Convert this percentage to a fraction
\( 62 \% \)",\( \frac{31}{50} \),None of these,329.0
17,"###question###:Multiplying and Dividing with Decimals-Divide decimals by 10-\( 43.2 \div 10= \)
###Correct Answer###:\( 4.32 \)
###Misconcepte Incorrect answer###:B.\( 0.432 \)",7_B,Divide decimals by 10,Multiplying and Dividing with Decimals,\( 43.2 \div 10= \),\( 4.32 \),\( 0.432 \),2123.0
18,"###question###:Multiplying and Dividing with Decimals-Divide decimals by 10-\( 43.2 \div 10= \)
###Correct Answer###:\( 4.32 \)
###Misconcepte Incorrect answer###:C.\( 33.2 \)",7_C,Divide decimals by 10,Multiplying and Dividing with Decimals,\( 43.2 \div 10= \),\( 4.32 \),\( 33.2 \),2273.0
19,"###question###:Multiplying and Dividing with Decimals-Divide decimals by 10-\( 43.2 \div 10= \)
###Correct Answer###:\( 4.32 \)
###Misconcepte Incorrect answer###:D.\( 43.02 \)",7_D,Divide decimals by 10,Multiplying and Dividing with Decimals,\( 43.2 \div 10= \),\( 4.32 \),\( 43.02 \),2133.0
20,"###question###:Adding and Subtracting Fractions-Subtract proper fractions with different denominators which do not share a common factor-\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?
###Correct Answer###:\( 7 \)
###Misconcepte Incorrect answer###:B.\( 5 \)",8_B,Subtract proper fractions with different denominators which do not share a common factor,Adding and Subtracting Fractions,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",\( 7 \),\( 5 \),907.0
21,"###question###:Adding and Subtracting Fractions-Subtract proper fractions with different denominators which do not share a common factor-\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?
###Correct Answer###:\( 7 \)
###Misconcepte Incorrect answer###:C.\( 17 \)",8_C,Subtract proper fractions with different denominators which do not share a common factor,Adding and Subtracting Fractions,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",\( 7 \),\( 17 \),1514.0
22,"###question###:Adding and Subtracting Fractions-Subtract proper fractions with different denominators which do not share a common factor-\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?
###Correct Answer###:\( 7 \)
###Misconcepte Incorrect answer###:D.\( 3 \)",8_D,Subtract proper fractions with different denominators which do not share a common factor,Adding and Subtracting Fractions,"\(
\frac{4}{5}-\frac{1}{3}=\frac{\bigstar}{15}
\)
What should replace the star?",\( 7 \),\( 3 \),907.0
23,"###question###:Transformations of functions in the form f(x)-Identify horizontal translations in the form f(x) = for non-trigonometric functions-What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)
###Correct Answer###:Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)
###Misconcepte Incorrect answer###:A.Translation by vector
\(
\left[\begin{array}{l}
0 \\
3
\end{array}\right]
\)",9_A,Identify horizontal translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)","Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)","Translation by vector
\(
\left[\begin{array}{l}
0 \\
3
\end{array}\right]
\)",1889.0
24,"###question###:Transformations of functions in the form f(x)-Identify horizontal translations in the form f(x) = for non-trigonometric functions-What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)
###Correct Answer###:Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)
###Misconcepte Incorrect answer###:B.Translation by vector
\(
\left[\begin{array}{c}
0 \\
-3
\end{array}\right]
\)",9_B,Identify horizontal translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)","Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)","Translation by vector
\(
\left[\begin{array}{c}
0 \\
-3
\end{array}\right]
\)",1234.0
25,"###question###:Transformations of functions in the form f(x)-Identify horizontal translations in the form f(x) = for non-trigonometric functions-What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)
###Correct Answer###:Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)
###Misconcepte Incorrect answer###:D.Translation by vector
\(
\left[\begin{array}{r}
-3 \\
0
\end{array}\right]
\)",9_D,Identify horizontal translations in the form f(x) = for non-trigonometric functions,Transformations of functions in the form f(x),"What transformation maps the graph of
\(y=f(x)
\)
to the graph of
\(
y=f(x-3)
\)","Translation by vector
\(
\left[\begin{array}{l}
3 \\
0
\end{array}\right]
\)","Translation by vector
\(
\left[\begin{array}{r}
-3 \\
0
\end{array}\right]
\)",1312.0
26,"###question###:Expanding Triple Brackets and more-Expand products of three binomials in the form (x + a)(x + b)(x + c)-John is expanding these three brackets:
\(
(x+5)(x-3)(x+6)
\)

He finds it helpful to split the first bracket and view the problem as follows:
\(
x(x-3)(x+6)+5(x-3)(x+6)
\)

He expands the brackets further. Before he simplifies, what are the terms than contain an \( \boldsymbol{x}^{2} \) ?
###Correct Answer###:\( \begin{array}{l}+6 x^{2} \\ -3 x^{2} \\ +5 x^{2}\end{array} \)
###Misconcepte Incorrect answer###:C.\( \begin{array}{l}+6 x^{2} \\ +3 x^{2} \\ +5 x^{2}\end{array} \)",10_C,Expand products of three binomials in the form (x + a)(x + b)(x + c),Expanding Triple Brackets and more,"John is expanding these three brackets:
\(
(x+5)(x-3)(x+6)
\)

He finds it helpful to split the first bracket and view the problem as follows:
\(
x(x-3)(x+6)+5(x-3)(x+6)
\)

He expands the brackets further. Before he simplifies, what are the terms than contain an \( \boldsymbol{x}^{2} \) ?",\( \begin{array}{l}+6 x^{2} \\ -3 x^{2} \\ +5 x^{2}\end{array} \),\( \begin{array}{l}+6 x^{2} \\ +3 x^{2} \\ +5 x^{2}\end{array} \),583.0
27,"###question###:Nets-Identify the net of a non-prism-This is the net of a... ![A circle touching a sector]()
###Correct Answer###:Cone
###Misconcepte Incorrect answer###:A.Triangle",11_A,Identify the net of a non-prism,Nets,This is the net of a... ![A circle touching a sector](),Cone,Triangle,690.0
28,"###question###:Nets-Identify the net of a non-prism-This is the net of a... ![A circle touching a sector]()
###Correct Answer###:Cone
###Misconcepte Incorrect answer###:B.Triangular prism",11_B,Identify the net of a non-prism,Nets,This is the net of a... ![A circle touching a sector](),Cone,Triangular prism,690.0
29,"###question###:Nets-Identify the net of a non-prism-This is the net of a... ![A circle touching a sector]()
###Correct Answer###:Cone
###Misconcepte Incorrect answer###:C.Triangularbased pyramid",11_C,Identify the net of a non-prism,Nets,This is the net of a... ![A circle touching a sector](),Cone,Triangularbased pyramid,690.0
30,"###question###:Angle Facts with Parallel Lines-Identify alternate angles-Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()
###Correct Answer###:Only
Tom
###Misconcepte Incorrect answer###:B.Only
Katie",12_B,Identify alternate angles,Angle Facts with Parallel Lines,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()","Only
Tom","Only
Katie",2156.0
31,"###question###:Angle Facts with Parallel Lines-Identify alternate angles-Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()
###Correct Answer###:Only
Tom
###Misconcepte Incorrect answer###:C.Both Tom and Katie",12_C,Identify alternate angles,Angle Facts with Parallel Lines,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()","Only
Tom",Both Tom and Katie,2156.0
32,"###question###:Angle Facts with Parallel Lines-Identify alternate angles-Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()
###Correct Answer###:Only
Tom
###Misconcepte Incorrect answer###:D.Neither is correct",12_D,Identify alternate angles,Angle Facts with Parallel Lines,"Tom and Katie are arguing about alternate angles.
Tom says angles \( p \) and \( q \) are alternate.

Katie says angles \( p \) and \( q \) are equal.
Who is correct? ![Shows two non parallel lines that are intersected by another line. Angles P and Q are both on the outside of the lines and on opposite sides of the transversal.]()","Only
Tom",Neither is correct,1588.0
33,"###question###:Time-Convert from hours to minutes-Hannah's journey to camp is \( 3 \) hours and \( 16 \) minutes.
Tori's journey to camp is \( 214 \) minutes.
What is the difference in their journeys in minutes?
###Correct Answer###:\( 18 \) minutes
###Misconcepte Incorrect answer###:C.\( 102 \) minutes",13_C,Convert from hours to minutes,Time,"Hannah's journey to camp is \( 3 \) hours and \( 16 \) minutes.
Tori's journey to camp is \( 214 \) minutes.
What is the difference in their journeys in minutes?",\( 18 \) minutes,\( 102 \) minutes,161.0
34,"###question###:Trial and Improvement and Iterative Methods-Select the correct answer to an iteration question to the required degree of accuracy-\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?
###Correct Answer###:\( 4.79 \)
###Misconcepte Incorrect answer###:A.\( 4.78 \)",14_A,Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",\( 4.79 \),\( 4.78 \),1775.0
35,"###question###:Trial and Improvement and Iterative Methods-Select the correct answer to an iteration question to the required degree of accuracy-\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?
###Correct Answer###:\( 4.79 \)
###Misconcepte Incorrect answer###:B.\( 4.79128 \ldots \)",14_B,Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",\( 4.79 \),\( 4.79128 \ldots \),1248.0
36,"###question###:Trial and Improvement and Iterative Methods-Select the correct answer to an iteration question to the required degree of accuracy-\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?
###Correct Answer###:\( 4.79 \)
###Misconcepte Incorrect answer###:C.\( 4.8 \)",14_C,Select the correct answer to an iteration question to the required degree of accuracy,Trial and Improvement and Iterative Methods,"\(
x_{n+1}=5-\frac{1}{x_{n}}
\)

Using a starting value of \( x_{1}=2 \), what is the solution to \( x=5-\frac{1}{x} \) to \( 2 \) decimal places?",\( 4.79 \),\( 4.8 \),1529.0
37,"###question###:Area of Simple Shapes-Calculate the area of an equilateral triangle where the dimensions are given in the same units-How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()
###Correct Answer###:None of these
###Misconcepte Incorrect answer###:B.\( \frac{12 \times 12}{2} \)",15_B,Calculate the area of an equilateral triangle where the dimensions are given in the same units,Area of Simple Shapes,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",None of these,\( \frac{12 \times 12}{2} \),590.0
38,"###question###:Area of Simple Shapes-Calculate the area of an equilateral triangle where the dimensions are given in the same units-How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()
###Correct Answer###:None of these
###Misconcepte Incorrect answer###:C.\( \frac{12 \times 12 \times 12}{2} \)",15_C,Calculate the area of an equilateral triangle where the dimensions are given in the same units,Area of Simple Shapes,"How would you calculate the area of this triangle? ![A triangle, base 12m. All three sides are equal.]()",None of these,\( \frac{12 \times 12 \times 12}{2} \),71.0
39,"###question###:Sharing in a Ratio-Divide a quantity into two parts for a given a ratio, where each part is an integer-In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()
###Correct Answer###:\( 18 \mathrm{~m} \)
###Misconcepte Incorrect answer###:A.\( 16 \mathrm{~m} \)",16_A,"Divide a quantity into two parts for a given a ratio, where each part is an integer",Sharing in a Ratio,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",\( 18 \mathrm{~m} \),\( 16 \mathrm{~m} \),2378.0
40,"###question###:Sharing in a Ratio-Divide a quantity into two parts for a given a ratio, where each part is an integer-In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()
###Correct Answer###:\( 18 \mathrm{~m} \)
###Misconcepte Incorrect answer###:B.\( 30 \mathrm{~m} \)",16_B,"Divide a quantity into two parts for a given a ratio, where each part is an integer",Sharing in a Ratio,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",\( 18 \mathrm{~m} \),\( 30 \mathrm{~m} \),105.0
41,"###question###:Sharing in a Ratio-Divide a quantity into two parts for a given a ratio, where each part is an integer-In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()
###Correct Answer###:\( 18 \mathrm{~m} \)
###Misconcepte Incorrect answer###:C.\( 6 \mathrm{~m} \)",16_C,"Divide a quantity into two parts for a given a ratio, where each part is an integer",Sharing in a Ratio,"In the diagram, AN : NB \( =3: 5 \) 
What is the distance AN? ![A line that begins with point A, ends with point B, and has point N in between. The entire length of the line measures 48 m.]()",\( 18 \mathrm{~m} \),\( 6 \mathrm{~m} \),1659.0
42,"###question###:Ordering Negative Numbers-Prove statements involving odd and even numbers-Which of these shows part of the proof that the sum of two odd numbers is even?
###Correct Answer###:\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \)
###Misconcepte Incorrect answer###:A.\( \begin{array}{l}2 n+(2 m+1) \\ =2(n+m)+1\end{array} \)",17_A,Prove statements involving odd and even numbers,Ordering Negative Numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),\( \begin{array}{l}2 n+(2 m+1) \\ =2(n+m)+1\end{array} \),616.0
43,"###question###:Ordering Negative Numbers-Prove statements involving odd and even numbers-Which of these shows part of the proof that the sum of two odd numbers is even?
###Correct Answer###:\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \)
###Misconcepte Incorrect answer###:B.\( \begin{array}{l}(2 n-1)(2 m+1) \\ =4 m n+2 n-2 m-1 \\ =2(2 m n-n-m)+1\end{array} \)",17_B,Prove statements involving odd and even numbers,Ordering Negative Numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),\( \begin{array}{l}(2 n-1)(2 m+1) \\ =4 m n+2 n-2 m-1 \\ =2(2 m n-n-m)+1\end{array} \),2130.0
44,"###question###:Ordering Negative Numbers-Prove statements involving odd and even numbers-Which of these shows part of the proof that the sum of two odd numbers is even?
###Correct Answer###:\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \)
###Misconcepte Incorrect answer###:C.\( \begin{array}{l}\text { Odd + Odd } \\ =\text { even }\end{array} \)",17_C,Prove statements involving odd and even numbers,Ordering Negative Numbers,Which of these shows part of the proof that the sum of two odd numbers is even?,\( \begin{array}{l}(2 n-1)+(2 m+1) \\ =2 n+2 m \\ =2(n+m)\end{array} \),\( \begin{array}{l}\text { Odd + Odd } \\ =\text { even }\end{array} \),616.0
45,"###question###:Adding and Subtracting Negative Numbers-Carry out missing number subtraction problems involving negative integers-![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?
###Correct Answer###:\( -5 \)
###Misconcepte Incorrect answer###:A.\( -7 \)",18_A,Carry out missing number subtraction problems involving negative integers,Adding and Subtracting Negative Numbers,"![Number line with -12 and -7 marked. Starting at -12, follow an arrow pointing to the right labelled +10. Then there is an arrow labelled b pointing to the left, which ends at -7 on the number line.]() What is the value of \( b \) ?",\( -5 \),\( -7 \),2179.0
